year_month,year,month,carrier,carrier_name,airport_code,city,state,airport_full_name,airport_name_cleansed,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021-12-01,2021,12,9E,Endeavor Air Inc.,ATL,Atlanta,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,3705.0,388.0,96.28,29.68,101.87,0.0,160.18,12.0,4.0,30500.0,10300.0,2853.0,4638.0,0.0,12709.0
2021-12-01,2021,12,9E,Endeavor Air Inc.,CLT,Charlotte,NC,"Charlotte, NC: Charlotte Douglas International",Charlotte Douglas International,92.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,123.0,60.0,0.0,63.0,0.0,0.0
2021-12-01,2021,12,9E,Endeavor Air Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,3.0,1.0,0.12,0.0,0.44,0.0,0.44,0.0,0.0,41.0,5.0,0.0,18.0,0.0,18.0
2021-12-01,2021,12,9E,Endeavor Air Inc.,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,116.0,18.0,4.35,0.97,9.33,0.0,3.35,0.0,0.0,994.0,208.0,66.0,441.0,0.0,279.0
2021-12-01,2021,12,9E,Endeavor Air Inc.,LGA,New York,NY,"New York, NY: LaGuardia",LaGuardia,2259.0,174.0,49.06,4.8,75.72,0.0,44.42,4.0,2.0,11040.0,3392.0,449.0,3826.0,0.0,3373.0
2021-12-01,2021,12,9E,Endeavor Air Inc.,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,37.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0
2021-12-01,2021,12,AA,American Airlines Inc.,ATL,Atlanta,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,718.0,130.0,60.9,0.0,19.44,1.87,47.79,1.0,0.0,10649.0,4739.0,0.0,556.0,42.0,5312.0
2021-12-01,2021,12,AA,American Airlines Inc.,CLT,Charlotte,NC,"Charlotte, NC: Charlotte Douglas International",Charlotte Douglas International,7827.0,949.0,369.1,14.43,215.2,8.12,342.15,39.0,7.0,67795.0,31313.0,1241.0,6904.0,285.0,28052.0
2021-12-01,2021,12,AA,American Airlines Inc.,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,816.0,159.0,56.29,1.78,57.11,1.0,42.82,2.0,0.0,8131.0,2527.0,172.0,2370.0,18.0,3044.0
2021-12-01,2021,12,AA,American Airlines Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,11780.0,1720.0,619.02,38.5,342.27,11.32,708.89,60.0,4.0,147757.0,67004.0,2849.0,10980.0,388.0,66536.0
